search_engine,scenario,run,keyword,latitude,longitude,radius_km,limit,vus,duration,mysql_selects,request_count,avg_ms,p50_ms,p95_ms,p99_ms,throughput_rps,error_rate
mysql,geo-only,1,,37.5665,126.9780,5,20,10,30s,513,513,596.3491929824565,537.634,1123.0331999999996,1482.1519199999996,16.605878254311094,0
mysql,geo-only,2,,37.5665,126.9780,5,20,10,30s,453,453,665.3873399558496,544.477,1640.6665999999998,2037.55208,14.966891946474032,0
mysql,geo-only,3,,37.5665,126.9780,5,20,10,30s,656,656,459.12655335365866,444.2115,635.46425,796.572,21.689417134937106,0
