search_engine,scenario,run,keyword,latitude,longitude,radius_km,limit,vus,duration,mysql_selects,request_count,avg_ms,p50_ms,p95_ms,p99_ms,throughput_rps,error_rate
elasticsearch,geo-only,1,,37.5665,126.9780,5,20,10,30s,0,45273,6.422012921608919,5.312,12.868399999999998,24.586799999999997,1508.9374371401054,0
elasticsearch,geo-only,2,,37.5665,126.9780,5,20,10,30s,0,51166,5.668583356134864,5.191,9.095749999999997,15.467049999999999,1705.2317346805262,0
elasticsearch,geo-only,3,,37.5665,126.9780,5,20,10,30s,0,46404,6.257332191190387,5.549,10.370849999999999,21.853039999999986,1546.5604377881866,0
