sample,cpu_percent,rss_kb
1,0.0,32080
2,310.8,287056
3,221.2,290992
4,184.1,291104
5,187.2,290000
6,174.3,235584
7,189.2,230768
8,178.8,229824
9,180.6,228112
10,184.9,229728
11,185.3,217024
12,195.7,219056
13,191.6,218080
14,198.5,208192
15,203.4,210672
16,140.0,212384
17,192.6,212544
18,200.2,211936
19,206.6,216992
20,205.6,216640
21,192.5,215728
22,199.6,204688
23,181.2,204400
24,186.6,207392
25,195.3,207648
26,205.2,212304
27,188.4,212592
28,203.6,213104
29,197.3,213264
30,187.4,212480
