search_engine,scenario,run,keyword,latitude,longitude,radius_km,limit,vus,duration,mysql_selects,request_count,avg_ms,p50_ms,p95_ms,p99_ms,throughput_rps,error_rate
mysql-bounding-box,geo-only,1,,37.5665,126.9780,5,20,10,30s,3576,3576,83.65044966442925,82.053,116.47175,173.84900000000002,118.97645513844037,0
mysql-bounding-box,geo-only,2,,37.5665,126.9780,5,20,10,30s,3190,3190,93.8529056426331,93.758,127.84944999999998,198.03638999999995,106.09958886575615,0
mysql-bounding-box,geo-only,3,,37.5665,126.9780,5,20,10,30s,3068,3068,97.57800195567145,97.119,126.75525,170.84977,102.05219377622656,0
